,Normal Epochs,Apnea Epochs
Eye1-FLb,-0.000192193867846959,-0.00046963499938597087
Eye1-C3d,-0.004710983957897113,-0.004314290211458431
Eye1-C3t,-0.006383531575033592,-0.00751993684231631
Eye1-C3a,-0.005072120421946087,-0.007450096777143063
Eye1-C3s,-0.0018936692454021298,-0.0033688534557417445
Eye1-C3b,-0.001055620808588247,-0.0015330891037871439
Eye1-O1d,-0.004128755358360639,-0.0042298223057843694
Eye1-O1t,0.001021498664487168,0.0013565693395502746
Eye1-O1a,0.0004960486433966871,0.001126894474938156
Eye1-O1s,0.00141252592729801,0.004375760839488069
Eye1-O1b,0.0015882298401285523,0.004235789124398245
Eye1-FRd,-0.000574747579462568,0.0003846136215352967
Eye1-FRt,-0.0031932366841998404,-0.0036694393306570317
Eye1-FRa,-0.004013635534585484,-0.004923371454488122
Eye1-FRs,-0.0037989648563279917,-0.0057995794240782725
Eye1-FRb,-0.0035178850565219084,-0.005966554184798018
Eye1-C4d,-0.0021840588903844697,-0.0019397391913204116
Eye1-C4t,-0.00247679792801595,-0.0032515311192621516
Eye1-C4a,-0.002731739421753456,-0.004313646881299717
Eye1-C4s,0.0012045785671210025,0.00215385014056838
Eye1-C4b,-0.00302740742774198,-0.005716397072991847
Eye1-O2d,-0.004237227912567469,-0.005046886477851707
Eye1-O2t,0.0016938771261534025,0.0031151100669265415
Eye1-O2a,-0.0011052327836519585,-0.002029599648495632
Eye1-O2s,0.003364927099050783,0.008134967846484757
Eye1-O2b,0.0005930195589381089,0.0024035918269930947
Eye2-FLd,-0.004851432700873673,-0.003985563765416698
Eye2-FLt,-0.005424229690475283,-0.005840065136054669
Eye2-FLa,-0.0058375767369314765,-0.007621030553392168
Eye2-FLs,-0.004852177549877749,-0.007401617366367181
Eye2-FLb,-0.0007657044672179217,-0.0007166914183667852
Eye2-C3d,-0.005101926998309158,-0.005397450492964665
Eye2-C3t,-0.008677435563041253,-0.008971991228156182
Eye2-C3a,-0.0057334106381731875,-0.009278257361526248
Eye2-C3s,-0.0027185264605240293,-0.005540566554114992
Eye2-C3b,-0.004427586163155702,-0.00768684388374298
Eye2-O1d,-0.010000283934374132,-0.011193917118251056
Eye2-O1t,-0.005412119528918636,-0.007967936045709587
Eye2-O1a,-0.003331080790121177,-0.0060245165464940294
Eye2-O1s,-0.00019655271909890205,-0.00063512948624476
Eye2-O1b,0.00047731431403815627,0.001419197754974539
Eye2-FRd,-0.008702285904065594,-0.007859309370153226
Eye2-FRt,-0.008613419011319937,-0.010150262842029087
Eye2-FRa,-0.007812918473875555,-0.011966764240621265
Eye2-FRs,-0.008448598030863487,-0.0155429628543293
Eye2-FRb,-0.007616521232688522,-0.015171437106851324
Eye2-C4d,-0.007928635759230565,-0.007519823580649766
Eye2-C4t,-0.009752209652328259,-0.012669983702682497
Eye2-C4a,-0.007740922410154086,-0.01344648879022595
Eye2-C4s,-0.003999980800911194,-0.00770798058797714
Eye2-C4b,-0.004801711194514909,-0.010482667849573916
Eye2-O2d,-0.007486657615793141,-0.0086433848152026
Eye2-O2t,-0.0034097141513920333,-0.0062667325116051945
Eye2-O2a,-0.0015428885323436412,-0.0034890463071017854
Eye2-O2s,-0.0006202787833144623,-0.0019546574719106905
Eye2-O2b,8.244507366516641e-06,0.0009085466222448641
FLd-FLt,-0.0006839237479456993,0.0005834475534832381
FLd-FLa,0.00014099655913738088,0.00048189507849350204
FLd-FLs,4.3460562474686816e-05,0.00032881987569084015
FLd-FLb,0.000710697102775646,0.001368704798869983
FLd-C3d,-0.0014199037178930314,-0.0006684345972667118
FLd-C3t,-0.006667422041850925,-0.007691267849002046
FLd-C3a,-0.0030292039552366466,-0.004774072585160408
FLd-C3s,-0.004084612042003635,-0.005961372601775499
FLd-C3b,-0.0010937630289304626,-0.0011756418959126974
FLd-O1d,-0.002948605471890288,-0.0029538725598945237
FLd-O1t,0.0008289076263819353,0.0015512030969966049
FLd-O1a,0.0004486938863021737,0.0007968151378977825
FLd-O1s,-0.000309326799325993,-0.0005859989606412598
FLd-O1b,0.0012318726498492267,0.0031952326806480025
FLd-FRd,-0.001456756105810353,-0.0010440371163359754
FLd-FRt,-0.004113381124631095,-0.005016127521713869
FLd-FRa,-0.003455517378899446,-0.0041496579940624445
FLd-FRs,-0.0029446065564575053,-0.0038542767865733297
FLd-FRb,-0.0024351804937595887,-0.003279488523726728
FLd-C4d,-0.0018205585793207493,-0.0013588252843375957
FLd-C4t,-0.004920182670150437,-0.0061370715488107686
FLd-C4a,-0.0025766290594554228,-0.003917161440168877
FLd-C4s,-0.0026716107467183088,-0.004662992437318234
FLd-C4b,-0.004391882981047937,-0.006508749179030616
FLd-O2d,-0.0007363318624806261,-0.0005662908591890446
FLd-O2t,0.0015439158993723883,0.002719331814873189
FLd-O2a,0.001344392292166364,0.003667400584233607
FLd-O2s,-0.0006816492745142725,-0.0011627051299554342
FLd-O2b,0.0020767737750272052,0.005021329028278649
FLt-FLa,-0.0019063045441654095,-0.001267405960033281
FLt-FLs,0.0005159987469055126,0.0005103982158287307
FLt-FLb,0.002844540509400791,0.004721332596164791
FLt-C3d,-0.002716985616835602,-0.0019346498786652773
FLt-C3t,5.806587162967419e-05,0.00010269504999419081
FLt-C3a,-0.0009278386112887312,-0.0009649806077181529
FLt-C3s,-0.0005509693349562043,-0.0010432536349820345
FLt-C3b,-0.0037558508066805477,-0.006124754137210125
FLt-O1d,-0.0029013634938294453,-0.0034807870448075205
FLt-O1t,0.0006313890712642571,0.0010148265545771406
FLt-O1a,0.0008805381122956703,0.0015351817776051821
FLt-O1s,-0.000503580962312836,-0.0012921310355964023
FLt-O1b,-0.0009443008409000607,-0.00203396933157241
FLt-FRd,0.0008827551010898657,0.002430926518110452
FLt-FRt,-0.003695630960471216,-0.003518967187447145
FLt-FRa,-0.0018773486516607478,-0.0014821135875074769
FLt-FRs,-0.003331581332118383,-0.005246638339587257
FLt-FRb,-0.0028371390882692893,-0.004235752915281911
FLt-C4d,-0.0028669293864141436,-0.003144643439428525
FLt-C4t,-0.004873798086238915,-0.005433469484724793
FLt-C4a,-0.0016293248616824625,-0.002032687584819898
FLt-C4s,-0.0014707832670536121,-0.002235125627001226
FLt-C4b,-0.003728905658017624,-0.006035598099148791
FLt-O2d,0.0006727732178772809,0.0017389335319988111
FLt-O2t,0.0013351112951284897,0.0018400558512124312
FLt-O2a,0.0017832764175536916,0.003994900142976776
FLt-O2s,-0.0010210489307379768,-0.002291908511469948
FLt-O2b,-0.00042254505331850497,-0.0004493923711043313
FLa-FLs,-0.003497309853774426,-0.0034229857229639343
FLa-FLb,0.0014449540412604701,0.002647325812408281
FLa-C3d,-0.002630986304033803,-0.0026952503484662326
FLa-C3t,-0.00457014624459739,-0.00612530967274739
FLa-C3a,-0.0004033397112112763,0.0004191733600776215
FLa-C3s,-0.0012192510975568653,-0.0016729655097811186
FLa-C3b,-0.0020022900928833936,-0.0022218944614147427
FLa-O1d,-0.0015400667006278275,-0.0023164051267168173
FLa-O1t,-0.001984391376429739,-0.003617754571832292
FLa-O1a,-0.001221476841909245,-0.0020312891828807283
FLa-O1s,-0.004582138855976,-0.0075022337117546314
FLa-O1b,-0.00037165105797556453,-0.0005683284248398059
FLa-FRd,0.0003094597628880881,0.0006656812106088112
FLa-FRt,-0.0024857027378433864,-0.0033166238998418225
FLa-FRa,-0.0010410024198488454,-0.0004861278495537226
FLa-FRs,-0.0015033734832843398,-0.0007650659598321199
FLa-FRb,-0.002267198791279445,-0.003882017802649784
FLa-C4d,-0.002818525644676373,-0.0030425626674387856
FLa-C4t,-0.0029895283132043426,-0.003525312945044664
FLa-C4a,-0.0025219522706035717,-0.002418085774886424
FLa-C4s,-0.002479928078014312,-0.00320552865900152
FLa-C4b,-0.0008547922930740666,-0.001076573612452229
FLa-O2d,0.0002954776497680874,0.0008273774585623387
FLa-O2t,-0.0008593694154361351,-0.0016206867297013869
FLa-O2a,0.0010922929231915565,0.0017813578375318992
FLa-O2s,-0.0021334515326780754,-0.0029374386424440347
FLa-O2b,-0.00014373905859673861,-0.0002558952570385215
FLs-FLb,0.0017305615886106067,0.0019348800738417105
FLs-C3d,-0.00022923472885452993,-6.094087000059556e-05
FLs-C3t,-0.002756376791287666,-0.003993469948575585
FLs-C3a,-0.0003518506477778037,4.6910162285118335e-07
FLs-C3s,-0.003602367678969899,-0.0036134133849007313
FLs-C3b,8.750152880604087e-07,-0.00014801868953040318
FLs-O1d,-0.0011385035135718182,-0.0014616239146471237
FLs-O1t,-0.0010642656943821859,-0.002162335178718884
FLs-O1a,-0.0007578059877726844,-0.0013631881003382345
FLs-O1s,-0.004543546830985726,-0.005659892466338452
FLs-O1b,0.0006101823478162573,0.0014385901854053374
FLs-FRd,-0.0016142354579056241,-0.0014222774012646027
FLs-FRt,-0.0011444935298827248,-0.0016061401469910051
FLs-FRa,0.00045665579182030576,0.0016013665642372824
FLs-FRs,-0.004000772451736895,-0.0039443453148718275
FLs-FRb,0.00019901427411868027,0.00012161365737661471
FLs-C4d,-0.0012494662517036203,-0.0016706355464021535
FLs-C4t,-0.002527974722103253,-0.0036714187652333898
FLs-C4a,-0.0026581814678130764,-0.0032246879510116197
FLs-C4s,-0.0030900589733839313,-0.0029199061723541994
FLs-C4b,-0.0018314724179720443,-0.003242671590091626
FLs-O2d,4.7681642647684484e-05,0.00036057147974954626
FLs-O2t,-0.000900921630115995,-0.0017750471961311537
FLs-O2a,0.0014448232404673431,0.002452065566975023
FLs-O2s,-0.006656883680402117,-0.006740023919084809
FLs-O2b,0.0013558695197903772,0.0029771325875697944
FLb-C3d,0.00022382898411090754,0.0005983960176301044
FLb-C3t,-0.00360534691450574,-0.006104392129135743
FLb-C3a,0.00011405024534965623,0.0009902602695257027
FLb-C3s,0.001024571249249968,0.0017917105243663157
FLb-C3b,0.0022803247478704923,0.003113373580438148
FLb-O1d,0.0022865786654778326,0.004575148534428429
FLb-O1t,0.0008021394909362688,0.001450262777636653
FLb-O1a,0.0009466779166205853,0.0023314236870859424
FLb-O1s,0.002160734302742035,0.005633909804001009
FLb-O1b,0.002825933930807778,0.005166399958407912
FLb-FRd,0.002541321617673936,0.004118084178767657
FLb-FRt,-0.0011452347600532412,-0.001163460668636821
FLb-FRa,0.001583345641825077,0.0026866212894249325
FLb-FRs,-0.0002539998819559517,-0.00044474442927568917
FLb-FRb,-0.0014248750173639368,-0.0010517825702783517
FLb-C4d,-0.00019276957727928714,8.207734946476574e-05
FLb-C4t,-0.0029574402154558393,-0.005286795338790959
FLb-C4a,-0.0015755477491102808,-0.002702004380312304
FLb-C4s,8.114003900539443e-05,0.0006728398660488862
FLb-C4b,-0.0011904303347636314,-0.0012349680966442476
FLb-O2d,0.002304891681319561,0.004544304385103945
